region,species,type,current_status,short_trend,short_trend_cat,long_trend,long_trend_cat,current_abundance,current_abundance_year,average_abundance,previous_gen_abundance,gen_length,nyears,rangeyears,datasetversion
Skeena,Pink,Spawners,0.797288367,0.355478367,arrows-left-right,-0.007893114,arrows-left-right,1466232.994,2022,815802.8618,81610.01427,2,73,1950-2022,20240719
Skeena,Pink,Run Size,NA,NA,,NA,,NA,NA,NA,NA,2,NA,NA,20240719
Skeena,Sockeye,Spawners,0.304584657,0.014097032,arrow-up,0.008314075,arrow-up,1213962.43,2022,930535.5721,933924.1476,5,63,1960-2022,20240719
Skeena,Sockeye,Run Size,-0.109576413,-0.007770369,arrows-left-right,0.00207809,arrows-left-right,1790775.119,2022,2011149.688,1432733.42,5,63,1960-2022,20240719
Skeena,Steelhead,Spawners,-0.501114902,-0.072611476,arrow-down,0.008723405,arrow-up,11171.77346,2023,22393.47997,30212.14062,5,68,1956-2023,20240719
Skeena,Steelhead,Run Size,NA,NA,,NA,,NA,NA,NA,NA,5,NA,NA,20240719
Central Coast,Chinook,Spawners,-0.506276766,-0.035188896,arrow-down,-0.003253785,arrow-down,25675.23902,2022,52003.3032,40825.64617,5,73,1950-2022,20240719
Central Coast,Chinook,Run Size,NA,NA,,NA,,NA,NA,NA,NA,5,NA,NA,20240719
Central Coast,Chum,Spawners,-0.527612672,-0.038001377,arrows-left-right,-0.004358944,arrow-down,299456.1167,2022,633920.7234,687165.6272,4,73,1950-2022,20240719
Central Coast,Chum,Run Size,NA,NA,,NA,,NA,NA,NA,NA,4,NA,NA,20240719
Central Coast,Coho,Spawners,-0.28479664,-0.068535309,arrow-down,-0.00715499,arrow-down,130674.2868,2022,182709.2741,160380.4064,4,73,1950-2022,20240719
Central Coast,Coho,Run Size,NA,NA,,NA,,NA,NA,NA,NA,4,NA,NA,20240719
Central Coast,Pink,Spawners,-0.225172666,0.076928587,arrows-left-right,0.00629115,arrow-up,1958525.147,2022,2527692.381,2585748.11,2,73,1950-2022,20240719
Central Coast,Pink,Run Size,NA,NA,,NA,,NA,NA,NA,NA,2,NA,NA,20240719
Central Coast,Sockeye,Spawners,-0.393019106,0.01707689,arrows-left-right,-0.014667243,arrow-down,244924.4461,2022,403512.6119,328766.3607,5,73,1950-2022,20240719
Central Coast,Sockeye,Run Size,NA,NA,,NA,,NA,NA,NA,NA,5,NA,NA,20240719
Central Coast,Steelhead,Spawners,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,20240719
Central Coast,Steelhead,Run Size,NA,NA,,NA,,NA,NA,NA,NA,NA,NA,NA,20240719
Vancouver Island & Mainland Inlets,Chinook,Spawners,0.957411225,0.061472438,arrow-up,0.012402829,arrow-up,211038.2433,2022,107814.9755,215242.6389,4,70,1953-2022,20240719
Vancouver Island & Mainland Inlets,Chinook,Run Size,NA,NA,,NA,,NA,NA,NA,NA,4,NA,NA,20240719
Vancouver Island & Mainland Inlets,Chum,Spawners,-0.49141662,-0.050605384,arrow-down,0.007219681,arrow-up,649374.8909,2022,1276830.734,1649624.481,4,70,1953-2022,20240719
Vancouver Island & Mainland Inlets,Chum,Run Size,NA,NA,,NA,,NA,NA,NA,NA,4,NA,NA,20240719
Vancouver Island & Mainland Inlets,Coho,Spawners,-0.040933563,-0.030476415,arrow-down,-0.006329123,arrow-down,370333.0542,2022,386139.1034,316147.9004,4,70,1953-2022,20240719
Vancouver Island & Mainland Inlets,Coho,Run Size,NA,NA,,NA,,NA,NA,NA,NA,4,NA,NA,20240719
Vancouver Island & Mainland Inlets,Pink,Spawners,0.943258406,0.181950753,arrow-up,0.022836444,arrow-up,2102867.986,2022,1082135.026,1343808.434,2,70,1953-2022,20240719
Vancouver Island & Mainland Inlets,Pink,Run Size,NA,NA,,NA,,NA,NA,NA,NA,2,NA,NA,20240719
Vancouver Island & Mainland Inlets,Sockeye,Spawners,-0.026756603,0.023339789,arrows-left-right,-0.008920438,arrow-down,504907.8727,2022,518788.9014,570723.0257,5,70,1953-2022,20240719
Vancouver Island & Mainland Inlets,Sockeye,Run Size,NA,NA,,NA,,NA,NA,NA,NA,5,NA,NA,20240719
Vancouver Island & Mainland Inlets,Steelhead,Spawners,-0.484447222,-0.022078598,arrows-left-right,-0.011810142,arrow-down,1066.200978,2022,2068.073383,1945.554837,5,48,1975-2022,20240719
Vancouver Island & Mainland Inlets,Steelhead,Run Size,NA,NA,,NA,,NA,NA,NA,NA,5,NA,NA,20240719
Fraser,Chinook,Spawners,0.375149513,-0.003831943,arrows-left-right,-1.10E-05,arrows-left-right,357659.1562,2023,260087.469,211490.855,5,40,1984-2023,20240719
Fraser,Chinook,Run Size,NA,NA,,NA,,NA,NA,NA,NA,5,NA,NA,20240719
Fraser,Chum,Spawners,-0.544784912,-0.056366253,arrow-down,-0.061348,arrow-down,572422.1345,2022,1257476.19,979704.6708,4,25,1998-2022,20240719
Fraser,Chum,Run Size,-0.567743414,-0.057886681,arrow-down,-0.05645653,arrow-down,625532.9893,2022,1447133.508,1245814.496,4,25,1998-2022,20240719
Fraser,Coho,Spawners,0.780462516,0.049499891,arrow-up,-0.016124737,arrow-down,67234.49155,2022,37762.37407,29030.25539,4,39,1984-2022,20240719
