year,month,bald_eagle_count,osprey_count,temperature,runsize,spawners,predicted_osprey_count,osprey_count_lag1,temp_lag1,fish_lag1,osprey_count_lag2,temp_lag2,fish_lag2,osprey_count_lag3,temp_lag3,fish_lag3,osprey_count_roll3,temp_roll3,fish_roll3
2000,10,48.0,408.0,0.03,1004722.8241233333,417703.27089916664,1.44,900.0,0.12,1004722.8241233334,708.0,0.26,1004722.8241233333,420.0,0.01,1004722.8241233334,672.0,0.1366666666666666,1004722.8241233333
2000,11,288.0,744.0,-0.17,1004722.8241233334,417703.27089916664,-48.96,408.0,0.03,1004722.8241233333,900.0,0.12,1004722.8241233334,708.0,0.26,1004722.8241233333,684.0,-0.006666666666666747,1004722.8241233333
2000,12,924.0,864.0,0.11,1004722.8241233333,417703.27089916664,101.64,744.0,-0.17,1004722.8241233334,408.0,0.03,1004722.8241233333,900.0,0.12,1004722.8241233334,672.0,-0.010000000000000078,1004722.8241233333
2001,1,2156.0,952.0,0.15,2721996.40585,2179348.4017928573,323.4,864.0,0.11,1004722.8241233333,744.0,-0.17,1004722.8241233334,408.0,0.03,1004722.8241233333,853.3333333333334,0.02999999999999992,1577147.3513655558
2001,2,672.0,952.0,-0.11,2721996.40585,2179348.4017928573,-73.92,952.0,0.15,2721996.40585,864.0,0.11,1004722.8241233333,744.0,-0.17,1004722.8241233334,922.6666666666666,0.04999999999999993,2149571.878607778
2001,3,238.0,882.0,-0.22,2721996.40585,2179348.4017928573,-52.36,952.0,-0.11,2721996.40585,952.0,0.15,2721996.40585,864.0,0.11,1004722.8241233333,928.6666666666666,-0.06000000000000009,2721996.40585
2001,4,140.0,812.0,-0.19,2721996.4058499997,2179348.4017928573,-26.6,882.0,-0.22,2721996.40585,952.0,-0.11,2721996.40585,952.0,0.15,2721996.40585,882.0,-0.17333333333333342,2721996.40585
2001,5,56.0,602.0,0.16,2721996.40585,2179348.4017928573,8.96,812.0,-0.19,2721996.4058499997,882.0,-0.22,2721996.40585,952.0,-0.11,2721996.40585,765.3333333333334,-0.08333333333333341,2721996.40585
2001,6,140.0,308.0,0.28,2721996.4058499997,2179348.4017928573,39.2,602.0,0.16,2721996.40585,812.0,-0.19,2721996.4058499997,882.0,-0.22,2721996.40585,574.0,0.08333333333333326,2721996.4058499997
2001,7,84.0,560.0,0.37,2721996.40585,2179348.4017928573,31.08,308.0,0.28,2721996.4058499997,602.0,0.16,2721996.40585,812.0,-0.19,2721996.4058499997,490.0,0.26999999999999996,2721996.40585
2001,8,112.0,896.0,0.48,2721996.40585,2179348.4017928573,53.76,560.0,0.37,2721996.40585,308.0,0.28,2721996.4058499997,602.0,0.16,2721996.40585,588.0,0.37666666666666654,2721996.40585
2001,9,70.0,840.0,0.44000000000000006,2721996.40585,2179348.4017928573,30.800000000000004,896.0,0.48,2721996.40585,560.0,0.37,2721996.40585,308.0,0.28,2721996.4058499997,765.3333333333334,0.42999999999999994,2721996.40585
2001,10,84.0,602.0,0.29,2721996.40585,2179348.4017928573,24.36,840.0,0.44000000000000006,2721996.40585,896.0,0.48,2721996.40585,560.0,0.37,2721996.40585,779.3333333333334,0.40333333333333327,2721996.40585
2001,11,182.0,714.0,0.32,2721996.40585,2179348.4017928573,58.24,602.0,0.29,2721996.40585,840.0,0.44000000000000006,2721996.40585,896.0,0.48,2721996.40585,718.6666666666666,0.3499999999999999,2721996.40585
2001,12,1050.0,924.0,0.1,2721996.40585,2179348.4017928573,105.0,714.0,0.32,2721996.40585,602.0,0.29,2721996.40585,840.0,0.44000000000000006,2721996.40585,746.6666666666666,0.23666666666666658,2721996.40585
2002,1,663.0,1066.0,-0.11,1688326.5743230768,1108553.872723077,-72.93,924.0,0.1,2721996.40585,714.0,0.32,2721996.40585,602.0,0.29,2721996.40585,901.3333333333334,0.10333333333333324,2377439.7953410256
2002,2,520.0,416.0,-0.23000000000000004,1688326.5743230768,1108553.872723077,-119.60000000000002,1066.0,-0.11,1688326.5743230768,924.0,0.1,2721996.40585,714.0,0.32,2721996.40585,802.0,-0.08000000000000011,2032883.1848320514
2002,3,702.0,923.0,-0.03,1688326.5743230768,1108553.872723077,-21.06,416.0,-0.23000000000000004,1688326.5743230768,1066.0,-0.11,1688326.5743230768,924.0,0.1,2721996.40585,801.6666666666666,-0.12333333333333345,1688326.5743230768
2002,4,247.0,676.0,0.23000000000000004,1688326.5743230768,1108553.872723077,56.81000000000001,923.0,-0.03,1688326.5743230768,416.0,-0.23000000000000004,1688326.5743230768,1066.0,-0.11,1688326.5743230768,671.6666666666666,-0.010000000000000092,1688326.5743230768
2002,5,130.0,598.0,0.48,1688326.5743230768,1108553.872723077,62.4,676.0,0.23000000000000004,1688326.5743230768,923.0,-0.03,1688326.5743230768,416.0,-0.23000000000000004,1688326.5743230768,732.3333333333334,0.22666666666666657,1688326.5743230768
2002,6,182.0,1079.0,0.31,1688326.5743230768,1108553.872723077,56.42,598.0,0.48,1688326.5743230768,676.0,0.23000000000000004,1688326.5743230768,923.0,-0.03,1688326.5743230768,784.3333333333334,0.3399999999999999,1688326.5743230768
2002,7,130.0,481.0,0.21999999999999997,1688326.574323077,1108553.872723077,28.599999999999998,1079.0,0.31,1688326.5743230768,598.0,0.48,1688326.5743230768,676.0,0.23000000000000004,1688326.5743230768,719.3333333333334,0.3366666666666665,1688326.5743230768
2002,8,65.0,520.0,0.22,1688326.574323077,1108553.872723077,14.3,481.0,0.21999999999999997,1688326.574323077,1079.0,0.31,1688326.5743230768,598.0,0.48,1688326.5743230768,693.3333333333334,0.2499999999999999,1688326.5743230768
2002,9,169.0,767.0,0.24,1688326.574323077,1108553.872723077,40.559999999999995,520.0,0.22,1688326.574323077,481.0,0.21999999999999997,1688326.574323077,1079.0,0.31,1688326.5743230768,589.3333333333334,0.22666666666666654,1688326.574323077
2002,10,117.0,1144.0,0.39,1688326.574323077,1108553.872723077,45.63,767.0,0.24,1688326.574323077,520.0,0.22,1688326.574323077,481.0,0.21999999999999997,1688326.574323077,810.3333333333334,0.2833333333333332,1688326.574323077
2002,11,299.0,884.0,0.17000000000000004,1688326.5743230768,1108553.872723077,50.83000000000001,1144.0,0.39,1688326.574323077,767.0,0.24,1688326.574323077,520.0,0.22,1688326.574323077,931.6666666666666,0.26666666666666655,1688326.5743230768
2002,12,546.0,793.0,0.47,1688326.5743230768,1108553.872723077,256.62,884.0,0.17000000000000004,1688326.5743230768,1144.0,0.39,1688326.574323077,767.0,0.24,1688326.574323077,940.3333333333334,0.34333333333333327,1688326.5743230768
2003,1,616.0,1190.0,0.48,2537245.66865,2013883.9730142858,295.68,793.0,0.47,1688326.5743230768,884.0,0.17000000000000004,1688326.5743230768,1144.0,0.39,1688326.574323077,955.6666666666666,0.37333333333333324,1971299.6057653844
